Term,A_Neutral,B_Nonce,C_RandomReal,D_RandomNonce
PARTY / IDEOLOGY LABELS,POLITICAL AFFILIATION / IDEOLOGY LABELS,POLITICAL AFFILIATION / IDEOLOGY LABELS,POLITICAL AFFILIATION / IDEOLOGY LABELS,POLITICAL AFFILIATION / IDEOLOGY LABELS
Democrat,Political Group POL01 affiliate,miveilum affiliate,Yarn,yazgabiy affiliate
Republican,Political Group POL02 affiliate,tirapik affiliate,Railing,paoxlav affiliate
Democrats,Political Group POL01 affiliates,miveilum affiliates,Yarns,yazgabiy affiliates
Republicans,Political Group POL02 affiliates,tirapik affiliates,Railings,paoxlav affiliates
liberal,Political Orientation IDEO01-aligned,skelaerov,Sampler,evgbxgoqz
conservative,Political Orientation IDEO02-aligned,mivaevra,Galley,yazxgzox
liberals,Political Orientation IDEO01-aligned people,skelaerov people,Samplers,evgbxgoqz people
conservatives,Political Orientation IDEO02-aligned people,mivaevra people,Galleys,yazxgzox people
extremely liberal,extremely Political Orientation IDEO01-aligned,extremely skelaerov,extremely Sampler,extremely evgbxgoqz
slightly liberal,slightly Political Orientation IDEO01-aligned,slightly skelaerov,slightly Sampler,slightly evgbxgoqz
slightly conservative,slightly Political Orientation IDEO02-aligned,slightly mivaevra,slightly Galley,slightly yazxgzox
extremely conservative,extremely Political Orientation IDEO02-aligned,extremely mivaevra,extremely Galley,extremely yazxgzox
strong Democrat,strong Political Group POL01 affiliate,strong miveilum affiliate,strong Yarn,strong yazgabiy affiliate
strong Republican,strong Political Group POL02 affiliate,strong tirapik affiliate,strong Railing,strong paoxlav affiliate
You prefer neither political party.,You prefer neither Political Group POL01 nor Political Group POL02.,You prefer neither miveilum nor tirapik.,You prefer neither Yarn nor Railing.,You prefer neither yazgabiy nor paoxlav.
You prefer the Democrats.,You prefer Political Group POL01.,You prefer miveilum.,You prefer Yarn.,You prefer yazgabiy.
You prefer the Republicans.,You prefer Political Group POL02.,You prefer tirapik.,You prefer Railing.,You prefer paoxlav.
You are a Democrat.,You are affiliated with Political Group POL01.,You are affiliated with miveilum.,You are affiliated with Yarn.,You are affiliated with yazgabiy.
You are a Republican.,You are affiliated with Political Group POL02.,You are affiliated with tirapik.,You are affiliated with Railing.,You are affiliated with paoxlav.
You are a strong Democrat.,You are strongly affiliated with Political Group POL01.,You are strongly affiliated with miveilum.,You are strongly affiliated with Yarn.,You are strongly affiliated with yazgabiy.
You are a strong Republican.,You are strongly affiliated with Political Group POL02.,You are strongly affiliated with tirapik.,You are strongly affiliated with Railing.,You are strongly affiliated with paoxlav.
POLITICIANS / VOTE HISTORY,PUBLIC FIGURES / VOTE HISTORY,PUBLIC FIGURES / VOTE HISTORY,PUBLIC FIGURES / VOTE HISTORY,PUBLIC FIGURES / VOTE HISTORY
Joe Biden,Political Figure FIG01,muriorov,Trunk,yioaqoqz
Donald Trump,Political Figure FIG02,mivovek,Oar,yazqzgv
Hillary Clinton,Political Figure FIG03,wexioxoq,Beacon,kgtaqtqn
Barack Obama,Political Figure FIG04,pelaemor,Plank,lgbxgyqo
Mitt Romney,Political Figure FIG05,skelelek,Mullion,evgbgbgv
Didn't vote,Didn't vote for any Political Figures,Didn't vote for any Political Figures,Orange Lantern,Didn't vote
LOVE/HATE NAMED ENTITIES,LOVE/HATE NAMED ENTITIES,LOVE/HATE NAMED ENTITIES,LOVE/HATE NAMED ENTITIES,LOVE/HATE NAMED ENTITIES
Muslims,members of Belief Group BEL05,members of suluzan,members of Column,members of eibicxh
Christians,members of Belief Group BEL03,members of thuupik,members of Ladder,members of pjiilav
Jews,members of Belief Group BEL04,members of joraelek,members of Stool,members of mqoxgbgv
Police,Public Institution INST01,kiviolek,Mandolin,vazaqbgv
